Incident_ID,Year,Country,Category,Fatality_Count,Witness_Reliability,Circumstances
1,1956,Italy,Culinary Mishap,3,0.34,Details regarding the unusual nature of the event.
2,1794,USA,Supernatural Claim,1,0.54,Details regarding the unusual nature of the event.
3,1633,Russia,Culinary Mishap,1,0.8,Details regarding the unusual nature of the event.
4,2005,Germany,Absurd Bad Luck,1,0.76,Details regarding the unusual nature of the event.
5,1868,Italy,Absurd Bad Luck,1,0.3,Details regarding the unusual nature of the event.
6,1671,Italy,Mechanical Failure,1,0.24,Details regarding the unusual nature of the event.
7,1777,Brazil,Absurd Bad Luck,1,0.75,Details regarding the unusual nature of the event.
8,1820,Japan,Animal Related,1,0.62,Details regarding the unusual nature of the event.
9,1754,United Kingdom,Animal Related,1,0.93,Details regarding the unusual nature of the event.
10,1929,Italy,Animal Related,1,0.75,Details regarding the unusual nature of the event.
11,1712,Brazil,Animal Related,1,0.16,Details regarding the unusual nature of the event.
12,1755,Brazil,Animal Related,2,0.93,Details regarding the unusual nature of the event.
13,1544,Germany,Supernatural Claim,1,0.61,Details regarding the unusual nature of the event.
14,1672,Italy,Culinary Mishap,2,0.93,Details regarding the unusual nature of the event.
15,1765,Japan,Animal Related,1,0.92,Details regarding the unusual nature of the event.
16,1639,Australia,Animal Related,1,0.79,Details regarding the unusual nature of the event.
17,1638,Brazil,Animal Related,1,0.63,Details regarding the unusual nature of the event.
18,1761,Australia,Absurd Bad Luck,1,0.36,Details regarding the unusual nature of the event.
19,1620,Egypt,Animal Related,1,0.42,Details regarding the unusual nature of the event.
20,1707,Egypt,Historical Misconception,2,0.99,Details regarding the unusual nature of the event.
21,1781,Australia,Animal Related,1,0.49,Details regarding the unusual nature of the event.
22,1830,Brazil,Scientific Experiment,1,0.42,Details regarding the unusual nature of the event.
23,1661,Brazil,Absurd Bad Luck,1,0.85,Details regarding the unusual nature of the event.
24,1821,Australia,Scientific Experiment,1,0.98,Details regarding the unusual nature of the event.
25,1882,Italy,Supernatural Claim,1,0.24,Details regarding the unusual nature of the event.
26,1970,Russia,Culinary Mishap,3,0.84,Details regarding the unusual nature of the event.
27,1892,Germany,Animal Related,1,0.27,Details regarding the unusual nature of the event.
28,1557,Italy,Supernatural Claim,1,0.27,Details regarding the unusual nature of the event.
29,1520,Australia,Scientific Experiment,1,0.67,Details regarding the unusual nature of the event.
30,1795,United Kingdom,Animal Related,1,0.36,Details regarding the unusual nature of the event.
31,1597,United Kingdom,Animal Related,2,0.42,Details regarding the unusual nature of the event.
32,1693,Germany,Mechanical Failure,1,0.44,Details regarding the unusual nature of the event.
33,1856,Germany,Supernatural Claim,1,0.48,Details regarding the unusual nature of the event.
34,1787,Japan,Animal Related,10,0.35,Details regarding the unusual nature of the event.
35,1891,United Kingdom,Historical Misconception,3,0.96,Details regarding the unusual nature of the event.
36,1844,Australia,Absurd Bad Luck,1,0.11,Details regarding the unusual nature of the event.
37,1738,Egypt,Absurd Bad Luck,1,0.74,Details regarding the unusual nature of the event.
38,1710,Russia,Scientific Experiment,1,0.25,Details regarding the unusual nature of the event.
39,2000,Italy,Supernatural Claim,1,0.77,Details regarding the unusual nature of the event.
40,1830,Russia,Absurd Bad Luck,1,0.35,Details regarding the unusual nature of the event.
41,1649,USA,Historical Misconception,10,0.6,Details regarding the unusual nature of the event.
42,1983,United Kingdom,Absurd Bad Luck,1,0.13,Details regarding the unusual nature of the event.
43,1604,Germany,Culinary Mishap,1,0.3,Details regarding the unusual nature of the event.
44,1520,Russia,Absurd Bad Luck,1,0.44,Details regarding the unusual nature of the event.
45,1851,Russia,Mechanical Failure,3,0.26,Details regarding the unusual nature of the event.
46,1705,Japan,Mechanical Failure,1,0.47,Details regarding the unusual nature of the event.
47,1952,Germany,Supernatural Claim,1,0.89,Details regarding the unusual nature of the event.
48,1611,Russia,Animal Related,1,0.91,Details regarding the unusual nature of the event.
49,1703,Japan,Historical Misconception,10,0.88,Details regarding the unusual nature of the event.
